trial_id,learning_rate,conv1d_strides,conv1d_filters,hidden_units,input_size,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,loss,error_to_signal,val_loss,val_error_to_signal,prediction_time
0000,0.0008637918074781524,6,24,90,126,3,0,1,0,0.010945986956357956,0.010945921763777733,0.010170944035053253,0.010171537287533283,103.02969059999998
0002,0.00016785171923416138,5,13,117,57,3,0,1,0,0.03607955947518349,0.036078326404094696,0.030837250873446465,0.0308285690844059,98.10623960000001
0032,0.0006485100877596514,4,26,47,117,3,0,1,0,0.013163723051548004,0.013163606636226177,0.012043043971061707,0.012043608352541924,121.06772169999994
0003,0.001810157689657075,9,15,119,131,3,0,1,0,0.011126847006380558,0.0111260786652565,0.010122706182301044,0.010120287537574768,81.8396035
0008,0.008600386904862593,8,21,85,102,8,0,0,0,0.007687040138989687,0.007687123026698828,0.007636270485818386,0.007636898662894964,59.124110000000016
0001,0.0028102636841753114,8,20,93,51,3,0,1,0,0.014100056141614914,0.0140988165512681,0.013968958519399166,0.013965378515422344,30.98635409999997
0010,0.009635818369689405,7,15,52,142,3,0,1,0,0.007659286260604858,0.007658850401639938,0.007285058032721281,0.007285603787750006,99.75623870000004
0009,0.00046884292239125904,5,25,98,66,8,0,0,0,0.011780370958149433,0.011780262924730778,0.011707592755556107,0.011709260754287243,91.98169030000003
0004,0.0002395422625431563,8,13,106,125,3,0,1,0,0.03864961117506027,0.03864624351263046,0.029600368812680244,0.029612552374601364,66.52642959999997
0034,0.00010737419169198659,9,24,113,54,3,0,1,0,0.06256014853715897,0.06255326420068741,0.04660576954483986,0.0466238297522068,35.02999020000016
0007,0.00048690017276281297,9,22,107,104,8,0,0,0,0.0097284447401762,0.00972867850214243,0.009589879773557186,0.009594542905688286,60.590633300000036
0013,0.0005668181079162232,9,23,54,72,3,0,1,0,0.0182162057608366,0.018215732648968697,0.016611462458968163,0.016616087406873703,26.45938789999991
0006,0.0008637918074781524,6,24,90,126,8,3,1,1,0.008784657344222069,0.008784251287579536,0.008454427123069763,0.008455183357000351,98.03968710000004
0012,0.0003356555043298974,9,22,61,157,3,0,1,0,0.019947227090597153,0.01994580775499344,0.01730268821120262,0.017308058217167854,48.83469140000011
0015,0.009635818369689405,7,15,52,142,8,3,1,1,0.006794004235416651,0.006794158834964037,0.006864739116281271,0.006865361239761114,50.184381299999814
0011,0.00012624299346670673,11,17,64,110,3,0,1,0,0.060227084904909134,0.06022138148546219,0.04577380046248436,0.04574861004948616,27.739831100000174
